,Categorical,Categorical,Categorical,Categorical,Categorical,Categorical,Categorical,Categorical,Categorical,Categorical,Categorical,Categorical,Categorical,Categorical,Categorical,Categorical,Categorical,Discrete,Discrete,Discrete,Discrete,Discrete,Continuous,Infraction,Infraction,Infraction,Infraction,Infraction,Infraction,Infraction,Infraction,Infraction,Infraction,Infraction,Infraction,Infraction,Infraction,Infraction,Infraction,Infraction,Infraction,Infraction,Infraction,Infraction,Infraction,Infraction,Infraction,Infraction,Infraction,Infraction,Infraction,Infraction,Infraction,Infraction,Infraction,Infraction,Infraction,Infraction,Infraction,Infraction,Infraction,Infraction,Infraction,Infraction,Infraction Group,Infraction Group,Infraction Group,Vol,Vol,Vol,Vol,Vol,Vol,Vol,Vol,Vol,Solvabilité,Solvabilité,Solvabilité,Solvabilité,Solvabilité,Solvabilité,Solvabilité,Solvabilité,Contexte,Contexte,Contexte,Contexte,Contexte,Contexte,Contexte,Contexte,Contexte,Contexte
391,Non résolu - Auteur non identifié,Non déterminé - Découverte suite à période d'absence,N,Public,Gare,Inconnu,Aucune,Inconnu,Aucun,Non,UT,Sans objet,Victime plainte guichet,Aucun,0,Réactif – Investigation (CILA),1,Non déterminé - inconnu,1,1,1,1,41,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
381,Orienté - Eléments non concrétisés à la clôture,Déterminé - Date précise ,N,Public,Fast food,Inconnu,Aucune,Inconnu,Aucun,Non,UT,Sans objet,Victime plainte guichet,Aucun,0,Réactif – Investigation (CILA),1,Déterminé - Après-midi (12-17h00),1,1,2,1,51,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
371,Résolu - Total,Déterminé - Date précise ,N,Privé,Habitation collective,Aucun,Pieds / mains,Emotion,Aucun,Membre famille,UT,Sans objet,Victime plainte guichet,Aucun,0,Réactif - Auto-résolution (CILA),1,Déterminé - Soir (17-22h00),1,1,2,1,65,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
361,Non résolu - Auteur non identifié,Déterminé - Date précise ,N,Public,Voie publique,Inconnu,Aucune,Inconnu,Aucun,Non,UT,Sans objet,Victime plainte guichet,Aucun,0,Réactif – Investigation (CILA),1,Déterminé - Matin (07-12h00),1,1,1,1,13,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
351,Non résolu - Auteur non identifié,Déterminé - Date précise ,N,Public,Restaurant,Inconnu,Aucune,Inconnu,Aucun,Non,UT,Sans objet,Victime plainte guichet,Aucun,0,Réactif – Investigation (CILA),1,Déterminé - Soir (17-22h00),1,1,1,1,14,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
341,Résolu - Total,Déterminé - Date précise ,N,Public,Commerce,Aucun,Aucune,Opportunité,Aucun,Non,UT,Sans objet,Victime appel,Patrouilleur,0,Réactif - Flagrant-délit (LCIA),1,Déterminé - Après-midi (12-17h00),1,1,1,1,1,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
331,Non résolu - Auteur non identifié,Déterminé - Date précise ,N,Public,Commerce,"VHL tiers (appartenant à un tiers dont location, ...)",Aucune,Inconnu,Aucun,Non,UT,Rapprochement avec d'autres faits,Victime plainte guichet,Aucun,1,Réactif – Investigation (CILA),1,Déterminé - Matin (07-12h00),2,2,3,1,67,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
321,Non résolu - Auteur non identifié,Déterminé - Date précise ,N,Public,Parking,VHL non identifié,Arme blanche / contondante,Emotion,Aucun,Non,UT,Sans objet,Victime plainte guichet,Aucun,0,Réactif – Investigation (CILA),1,Déterminé - Soir (17-22h00),1,1,2,1,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
319,Non résolu - Auteur non identifié,Non déterminé - Découverte suite à période d'absence,O,Privé,Cave,Inconnu,Aucune,Inconnu,Aucun,Non,UT,Sans objet,Victime plainte guichet,Aucun,0,Réactif – Investigation (CILA),1,Non déterminé - inconnu,1,1,1,1,2,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
318,Non résolu - Auteur non identifié,Déterminé - Date précise ,N,Public,Transport en commun,Aucun,Arme blanche / contondante,Inconnu,Aucun,Non,UT,Sans objet,Victime plainte guichet,Aucun,0,Réactif – Investigation (CILA),1,Non déterminé - Découverte au matin,1,1,2,1,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
317,Non résolu - Auteur non identifié,Déterminé - Date précise ,N,Public,Voie publique,Inconnu,Aucune,Inconnu,Aucun,Non,UT,Sans objet,Victime plainte guichet,Aucun,0,Réactif – Investigation (CILA),1,Déterminé - Soir (17-22h00),1,1,1,1,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False
316,Orienté - Enquête débouchant hors du territoire de compétence,Non déterminé - Découverte suite à période d'absence,N,Autre,Internet,Aucun,Aucune,Rationalité,Aucun,Non,UT,Compétence lieu de domicile Auteur,Victime plainte guichet,Aucun,0,Réactif – Investigation (CILA),1,Non déterminé - inconnu,2,2,2,1,27,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
315,Non résolu - Auteur non identifié,Déterminé - Date précise ,N,Public,Parking,Inconnu,Aucune,Inconnu,Aucun,Non,UT,Sans objet,Victime plainte guichet,Aucun,0,Réactif – Investigation (CILA),1,Déterminé - Après-midi (12-17h00),1,1,1,1,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False
314,Non résolu - Auteur non identifié,Non déterminé - Découverte suite à période d'absence,N,Privé,Habitation individuelle,Inconnu,Aucune,Inconnu,Aucun,Non,UT,Sans objet,Victime plainte guichet,Aucun,0,Réactif – Investigation (CILA),1,Non déterminé - inconnu,1,1,2,1,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
313,Orienté - Enquête débouchant hors du territoire de compétence,Déterminé - Date précise ,N,Public,Parking,Aucun,Pieds / mains,Emotion,Aucun,Non,UT,Compétence lieu de domicile Auteur,Témoin direct (autre),Patrouilleur,0,Réactif - Flagrant-délit (LCIA),2,Déterminé - Soir (17-22h00),2,2,2,2,4,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False
312,Non résolu - Auteur non identifié,Non déterminé - Découverte suite à période d'absence,N,Public,Voie publique,Inconnu,Aucune,Inconnu,Aucun,Non,UT,Sans objet,Victime appel,Aucun,0,Réactif – Investigation (CILA),1,Non déterminé - inconnu,1,1,2,1,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
311,Non résolu - Auteur non identifié,Non déterminé - Découverte suite à période d'absence,N,Privé,Local à vélos,Inconnu,Aucune,Inconnu,Aucun,Non,UT,Sans objet,Constat incident à autre enquête,Aucun,0,Réactif – Investigation (CILA),1,Non déterminé - inconnu,1,1,1,1,17,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
310,Non résolu - Auteur non identifié,Non déterminé - Découverte suite à période d'absence,N,Privé,Local à vélos,Inconnu,Aucune,Inconnu,Aucun,Non,UT,Sans objet,Victime plainte guichet,Aucun,0,Réactif - Auto-résolution (CILA),1,Non déterminé - inconnu,1,1,1,1,17,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
301,Non résolu - Auteur non identifié,Déterminé - Date précise ,N,Public,Parking,Inconnu,Aucune,Inconnu,Aucun,Non,UT,Sans objet,Victime plainte guichet,Aucun,0,Réactif – Investigation (CILA),1,Déterminé - Après-midi (12-17h00),1,1,1,1,5,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
291,Non résolu - Auteur non identifié,Déterminé - Date précise ,N,Public,Voie publique,Aucun,Aucune,Inconnu,Aucun,Non,UT,Sans objet,Victime plainte guichet,Aucun,0,Réactif – Investigation (CILA),1,Non déterminé - Découverte fin de journée,1,1,1,1,75,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
281,Non résolu - Auteur non identifié,Déterminé - Date précise ,O,Privé,Habitation individuelle,VHL non identifié,Aucune,Rationalité,Aucun,Non,UT,Sans objet,Victime appel,Patrouilleur,0,Réactif – Investigation (CILA),1,Déterminé – Nuit 2 (02-07h00),1,1,1,1,270,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False
271,Non résolu - Auteur non identifié,Déterminé - Date précise ,N,Privé,Local commercial,Inconnu,Aucune,Rationalité,Aucun,Non,UT,Sans objet,Victime appel,Patrouilleur,0,Réactif – Investigation (CILA),1,Déterminé – Nuit 2 (02-07h00),1,1,1,1,100,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
261,Non résolu - Mise en cause insuffisamment caractérisée,Déterminé - Date précise ,N,Public,Collège,Aucun,Aucune,Opportunité,Aucun,Connaissance,UT,Sans objet,Victime plainte guichet,Aucun,0,Réactif - Auto-résolution (CILA),1,Déterminé - Après-midi (12-17h00),1,1,3,1,105,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
251,Résolu - Total,Déterminé - Date précise ,N,Autre,Voie postale,Autre,Aucune,Emotion,Aucun,Connaissance,UT,Sans objet,Victime plainte guichet,Aucun,0,Réactif - Auto-résolution (CILA),1,Non déterminé - inconnu,1,1,1,1,22,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
241,Non résolu - Auteur non identifié,Déterminé - Date précise ,N,Public,Parking,VHL non identifié,Aucune,Rationalité,Aucun,Non,UT,Sans objet,Victime plainte guichet,Aucun,0,Réactif – Investigation (CILA),1,Déterminé - Nuit 1 (22-02h00),1,1,1,1,12,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
231,Orienté - Enquête débouchant hors du territoire de compétence,Déterminé - Date précise ,N,Autre,Internet,Aucun,Aucune,Opportunité,Aucun,Connaissance,UT,Compétence lieu de domicile Auteur,Victime courrier parquet,Aucun,0,Réactif - Auto-résolution (CILA),1,Non déterminé - inconnu,2,2,2,1,77,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
221,Orienté - Enquête débouchant hors du territoire de compétence,Déterminé - Infractions multiples,N,Privé,Habitation individuelle,Aucun,Aucune,Emotion,Aucun,Membre famille,UT,Compétence lieu de domicile Auteur,Témoin indirect (autre),Aucun,0,Réactif – Investigation (CILA),1,Non déterminé - inconnu,3,3,5,1,413,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
219,Orienté - Enquête débouchant hors du territoire de compétence,Déterminé - Infractions multiples,N,Autre,Internet,Aucun,Aucune,Rationalité,Aucun,Non,UT,Compétence lieu de domicile Auteur,Victime plainte guichet,Aucun,0,Réactif – Investigation (CILA),1,Non déterminé - inconnu,6,7,8,1,63,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
218,Résolu - Total,Déterminé - Date précise ,N,Public,Voie publique,VHL proprio (l'auteur est le propriétaire),Aucune,Négligence / Imprudence,Aucun,Non,UT,Sans objet,Auteur,Aucun,0,Réactif - Auto-résolution (CILA),1,Déterminé - Soir (17-22h00),1,1,1,1,135,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
217,Non résolu - Auteur non identifié,Déterminé - Date précise ,O,Public,Voie publique,Inconnu,Aucune,Inconnu,Aucun,Non,UT,Sans objet,Victime plainte guichet,Aucun,0,Réactif – Investigation (CILA),1,Non déterminé - Découverte au matin,1,1,1,1,1,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False
216,Non résolu - Auteur non identifié,Déterminé - Date précise ,N,Public,Voie publique,Inconnu,Aucune,Inconnu,Aucun,Non,UT,Sans objet,Victime plainte guichet,Aucun,0,Réactif – Investigation (CILA),1,Déterminé - Nuit 1 (22-02h00),1,1,1,1,21,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False
215,Résolu - Total,Déterminé - Date précise ,N,Privé,Habitation collective,Aucun,Aucune,Inconnu,Aucun,Membre famille,UT,Sans objet,Victime plainte guichet,Aucun,0,Réactif - Auto-résolution (CILA),1,Déterminé - Après-midi (12-17h00),1,1,2,1,35,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
214,Orienté - Eléments non concrétisés à la clôture,Déterminé - Date précise ,N,Public,Voie publique,Inconnu,Aucune,Inconnu,Aucun,Non,UT,Sans objet,Victime plainte guichet,Aucun,0,Réactif – Investigation (CILA),1,Déterminé - Nuit 1 (22-02h00),1,1,2,1,373,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
213,Non résolu - Auteur non identifié,Déterminé - Date précise ,O,Autre,Internet,Aucun,Aucune,Rationalité,Aucun,Non,UT,Sans objet,Victime plainte guichet,Aucun,0,Réactif – Investigation (CILA),1,Déterminé - Matin (07-12h00),1,1,1,1,7,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
212,Orienté - Enquête débouchant hors du territoire de compétence,Déterminé - Infractions multiples,N,Autre,0,Aucun,Aucune,Opportunité,Aucun,Proche,UT,Compétence lieu de domicile Auteur,Victime plainte guichet,Aucun,0,Réactif - Auto-résolution (CILA),1,Non déterminé - inconnu,2,2,2,1,95,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
211,Résolu - Total,Non déterminé - Découverte suite à période d'absence,N,Public,Voie publique,Aucun,Arme blanche / contondante,Emotion,Aucun,Proche,UT,Sans objet,Victime plainte guichet,Aucun,0,Réactif - Auto-résolution (CILA),1,Non déterminé - inconnu,1,1,1,1,10,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
210,Non résolu - Auteur non identifié,Déterminé - Date précise ,N,Public,Parking,Inconnu,Aucune,Rationalité,Aucun,Non,UT,Sans objet,Victime plainte guichet,Aucun,0,Réactif – Investigation (CILA),1,Déterminé - Matin (07-12h00),1,1,1,1,291,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
201,Orienté - Enquête débouchant hors du territoire de compétence,Déterminé - Date précise ,N,Autre,Voie postale,Aucun,Aucune,Opportunité,Aucun,Non,UT,Compétence lieu de domicile Auteur,Victime plainte guichet,Aucun,0,Réactif - Auto-résolution (CILA),1,Non déterminé - inconnu,2,2,2,1,37,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
199,Résolu - Total,Déterminé - Date précise ,N,Public,Chantier,Aucun,Aucune,Négligence / Imprudence,Aucun,Non,Co-saisine UT-BR,Sans objet,Témoin direct (autre),Patrouilleur + technicien et enquêteur spécialisés,1,Réactif – Investigation (CILA),1,Non déterminé - Découverte au matin,1,1,5,1,140,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
198,Non résolu - Auteur non identifié,Déterminé - Date précise ,N,Privé,0,Inconnu,Aucune,Inconnu,Aucun,Non,UT,Sans objet,Victime plainte guichet,Aucun,0,Réactif – Investigation (CILA),1,Déterminé – Nuit 2 (02-07h00),1,1,1,1,22,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
197,Non résolu - Auteur non identifié,Déterminé - Date précise ,N,Public,Voie publique,Inconnu,Aucune,Inconnu,Aucun,Non,UT,Sans objet,Victime plainte guichet,Aucun,0,Réactif – Investigation (CILA),1,Non déterminé - Découverte au matin,1,1,2,1,206,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
196,Orienté - Eléments non concrétisés à la clôture,Déterminé - Infractions multiples,N,Autre,Internet,Aucun,Aucune,Rationalité,Aucun,Proche,UT,Sans objet,Victime plainte guichet,Aucun,0,Réactif - Auto-résolution (CILA),1,Non déterminé - inconnu,1,1,1,1,220,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
195,Non résolu - Auteur non identifié,Déterminé - Date précise ,O,Privé,Habitation individuelle,Inconnu,Aucune,Rationalité,Aucun,Non,UT,Sans objet,Victime appel,Patrouilleur,0,Réactif – Investigation (CILA),1,Déterminé - Soir (17-22h00),1,1,2,1,182,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
194,Non résolu - Auteur non identifié,Déterminé - Date précise ,N,Public,Parking,Inconnu,Aucune,Inconnu,Aucun,Non,UT,Sans objet,Victime plainte guichet,Aucun,0,Réactif – Investigation (CILA),1,Non déterminé - Découverte au matin,1,1,1,1,87,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
193,Résolu - Total,Déterminé - Date précise ,N,Privé,Habitation individuelle,Aucun,Pieds / mains,Emotion,Aucun,Membre famille,UT,Sans objet,Victime plainte guichet,Aucun,0,Réactif - Auto-résolution (CILA),1,Déterminé - Après-midi (12-17h00),1,1,2,1,11,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
192,Résolu - Total,Déterminé - Date précise ,N,Autre,Téléphone,Aucun,Aucune,Emotion,Consommation d'alcool ou de drogue,Non,UT,Sans objet,Victime plainte guichet,Aucun,0,Réactif – Investigation (CILA),1,Déterminé - Matin (07-12h00),1,1,3,1,83,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
191,Résolu - Total,Déterminé - Date précise ,N,Public,Parking,VHL proprio (l'auteur est le propriétaire),Aucune,Négligence / Imprudence,Consommation d'alcool ou de drogue,Non,UT,Sans objet,Unité en patrouille,Patrouilleur,0,Réactif - Flagrant-délit (LCIA),1,Déterminé - Soir (17-22h00),1,1,2,1,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
